Part,Description
Meanwell 24 V DC Power Supply,DIN Rail Power Supplies 150W 24V 5A EN55022 Class B
Raspberry Pi,Raspberry Pi- Model B-1 (1GB RAM)
USB-C Charger/cable,To power the RPi
Micro SD Card,SanDisk Ultra 32GB MicroSDHC UHS-I Card with Adapter
Raspberry Pi Display,Matrix Orbital: TFT Displays & Accessories 7 in HDMI TFT G Series
HDMI for Display,Display cable: HDMI Cables HDMI Cbl Assbly 1M Micro to STD
Mini USB for Display,Display cable: USB Cables / IEEE 1394 Cables 3 ft Ext A-B Mini USB Cable
Screen mount thumb screws,"SCREEN_MOUNT_THUMB_SCREW: Brass Raised Knurled-Head Thumb Screw, 1/4""-20 Thread Size, 1/2"" Long"
Cable grommet,"USER_INTERFACE_CABLE_GROMMET: Buna-N Rubber Grommets, for 1-3/8"" Hole Diameter and 1/16"" Material Thickness, 1"" ID, pack of 10"
Cable P-clip,"USER_INTERFACE_CABLE_P-CLIP_0.375_ID_SS: Snug-Fit Vibration-Damping Loop Clamp, 304 Stainless Steel with Silicone Rubber Cushion, 3/8"" ID, pack of 10, 17/64 mounting holes"
Keyboard,Adesso: Mini keyboard with trackball
